file,label,Lines,Contours,Contours Size,Fast
IMG_4064.png,9,669,3,9363,409.0
IMG_4070.png,9,668,4,12276,419.0
IMG_4058.png,9,687,2,12261,468.0
IMG_3723.png,6,267,1,3983,172.0
IMG_3910.png,3,505,1,4453,142.0
IMG_3904.png,3,407,2,5085,138.0
IMG_3938.png,6,639,1,8473,269.0
IMG_4110.png,6,469,1,9992,324.0
IMG_4104.png,6,357,1,4921,282.0
IMG_3643.png,3,128,1,2712,120.0
IMG_3657.png,2,102,2,2006,76.0
IMG_4138.png,4,102,1,2828,86.0
IMG_3864.png,9,439,1,7542,250.0
IMG_3870.png,7,591,4,5328,228.0
IMG_3858.png,9,446,3,7500,255.0
IMG_3680.png,9,445,1,10642,340.0
IMG_3694.png,5,372,2,7722,211.0
IMG_3695.png,4,219,3,4694,149.0
IMG_3681.png,7,461,2,11787,351.0
IMG_3859.png,9,545,5,7602,284.0
IMG_3871.png,7,534,1,4378,198.0
IMG_3865.png,9,613,3,7043,284.0
IMG_4139.png,4,81,1,1411,74.0
IMG_3656.png,1,91,3,3769,124.0
IMG_3642.png,3,149,1,4814,187.0
IMG_4105.png,6,541,3,10477,513.0
IMG_4111.png,6,330,1,5404,204.0
IMG_3939.png,6,431,1,7951,209.0
IMG_3905.png,3,210,1,4574,199.0
IMG_3911.png,11,836,1,10275,375.0
IMG_3722.png,6,466,1,8451,289.0
IMG_4059.png,9,540,2,7948,311.0
IMG_4071.png,8,365,1,6057,209.0
IMG_4065.png,9,844,4,14256,541.0
IMG_4073.png,8,518,2,12167,407.0
IMG_4067.png,9,1066,1,23380,809.0
IMG_3708.png,10,646,4,9225,297.0
IMG_3720.png,7,411,1,6885,199.0
IMG_3907.png,2,502,1,4247,189.0
IMG_3913.png,11,655,2,7050,326.0
IMG_4098.png,7,359,1,8532,327.0
IMG_3668.png,4,262,2,5574,179.0
IMG_4107.png,6,326,1,5213,255.0
IMG_3654.png,1,79,3,3831,119.0
IMG_3640.png,3,231,2,8846,266.0
IMG_3898.png,3,2336,1,5676,245.0
IMG_3873.png,7,782,2,5284,226.0
IMG_3697.png,2,76,1,1874,75.0
IMG_3683.png,7,393,1,6346,257.0
IMG_3696.png,2,93,2,1984,103.0
IMG_3872.png,7,507,1,3666,212.0
IMG_3899.png,3,1528,1,3337,163.0
IMG_3641.png,3,207,1,7204,221.0
IMG_3655.png,1,96,3,3428,101.0
