file,label,Lines,Contours,Contours Size,Fast
IMG_4064.png,9,669,20269,8,409
IMG_4070.png,9,668,25076,8,419
IMG_4058.png,9,687,26813,8,468
IMG_3723.png,6,267,10509,4,172
IMG_3910.png,3,505,17860,2,142
IMG_3904.png,3,407,8005,4,138
IMG_3938.png,6,639,10848,6,269
IMG_4110.png,6,469,16843,5,324
IMG_4104.png,6,357,12807,6,282
IMG_3643.png,3,128,8104,3,120
IMG_3657.png,2,102,7623,6,76
IMG_4138.png,4,102,8673,6,86
IMG_3864.png,9,439,8482,5,250
IMG_3870.png,7,591,5330,3,228
IMG_3858.png,9,446,24776,4,255
IMG_3680.png,9,445,25070,10,340
IMG_3694.png,5,372,19998,7,211
IMG_3695.png,4,219,19059,8,149
IMG_3681.png,7,461,23331,11,351
IMG_3859.png,9,545,8526,6,284
IMG_3871.png,7,534,28826,6,198
IMG_3865.png,9,613,8127,3,284
IMG_4139.png,4,81,10077,5,74
IMG_3656.png,1,91,13806,5,124
IMG_3642.png,3,149,9669,5,187
IMG_4105.png,6,541,18871,6,513
IMG_4111.png,6,330,12570,5,204
IMG_3939.png,6,431,7938,4,209
IMG_3905.png,3,210,3138,1,199
IMG_3911.png,11,836,17206,8,375
IMG_3722.png,6,466,19337,8,289
IMG_4059.png,9,540,19876,8,311
IMG_4071.png,8,365,13338,6,209
IMG_4065.png,9,844,27312,8,541
IMG_4073.png,8,518,22492,6,407
IMG_4067.png,9,1066,32585,9,809
IMG_3708.png,10,646,22894,11,297
IMG_3720.png,7,411,14371,6,199
IMG_3907.png,2,502,3456,3,189
IMG_3913.png,11,655,17211,11,326
IMG_4098.png,7,359,15626,5,327
IMG_3668.png,4,262,19607,5,179
IMG_4107.png,6,326,12263,5,255
IMG_3654.png,1,79,8812,2,119
IMG_3640.png,3,231,11340,3,266
IMG_3898.png,3,2336,9392,4,245
IMG_3873.png,7,782,7345,5,226
IMG_3697.png,2,76,18884,5,75
IMG_3683.png,7,393,22278,8,257
IMG_3696.png,2,93,10866,6,103
IMG_3872.png,7,507,18091,4,212
IMG_3899.png,3,1528,7085,4,163
IMG_3641.png,3,207,10100,4,221
IMG_3655.png,1,96,6671,2,101
IMG_4112.png,6,728,28346,5,682
IMG_4106.png,6,354,13739,5,352
IMG_4099.png,7,653,25179,6,552
IMG_3912.png,11,770,22927,12,343
IMG_3906.png,3,414,1493,1,237
IMG_3721.png,7,647,21371,7,383
IMG_3709.png,6,365,12742,6,220
IMG_4066.png,9,850,30185,8,616
IMG_4072.png,8,749,25370,6,456
IMG_3725.png,5,315,14463,4,258
IMG_3731.png,5,419,18940,7,202
IMG_3719.png,7,399,15255,6,217
IMG_4076.png,8,738,24619,6,479
IMG_4062.png,9,430,17317,8,250
IMG_4089.png,7,901,34101,7,709
IMG_3902.png,3,726,6825,4,144
IMG_3916.png,11,1074,27367,8,549
IMG_3651.png,1,75,17422,3,84
IMG_3889.png,5,496,12907,5,246
IMG_3645.png,3,180,22138,8,167
IMG_4102.png,6,363,10575,5,238
IMG_4116.png,6,726,23315,5,726
IMG_3679.png,9,427,24904,10,311
IMG_3692.png,5,363,17374,5,252
IMG_3876.png,7,520,7027,3,229
IMG_3862.png,9,573,9514,5,287
IMG_3863.png,9,433,7084,3,245
IMG_3877.png,7,460,23964,6,251
IMG_3687.png,6,248,13201,8,163
IMG_3693.png,5,377,18245,6,217
IMG_3678.png,8,365,21342,9,239
IMG_4117.png,6,1073,35605,6,1088
IMG_4103.png,6,555,22815,5,500
IMG_3644.png,3,155,9412,5,100
IMG_3650.png,6,387,12893,7,196
IMG_3917.png,11,1112,27048,12,485
IMG_3903.png,3,1490,5293,3,143
IMG_4088.png,7,396,19533,6,349
IMG_4063.png,9,489,18417,8,317
IMG_4077.png,8,925,27503,6,596
IMG_3718.png,7,386,12753,6,210
IMG_3724.png,5,383,16956,4,323
IMG_3726.png,5,324,15437,4,299
IMG_4049.png,10,696,20925,9,474
IMG_4061.png,9,619,19261,9,367
IMG_4075.png,8,408,13594,5,186
IMG_3929.png,10,746,16799,9,319
IMG_3915.png,11,663,19132,10,292
IMG_3901.png,3,600,6674,4,118
IMG_4129.png,5,445,22014,4,389
IMG_3646.png,3,289,15652,6,265
IMG_3652.png,1,71,19310,4,90
IMG_4115.png,6,450,16926,6,340
IMG_4101.png,6,532,20620,5,479
IMG_3685.png,5,253,20670,10,185
IMG_3849.png,7,341,8474,5,250
IMG_3691.png,5,384,20797,7,228
IMG_3861.png,9,595,13752,7,268
IMG_3875.png,7,735,7404,5,210
IMG_3874.png,7,899,10700,8,214
IMG_3860.png,9,635,9904,7,295
IMG_3690.png,5,377,17925,5,281
IMG_3848.png,11,630,11866,7,428
IMG_3684.png,5,238,20268,10,190
IMG_4100.png,7,550,19207,6,355
IMG_4114.png,6,738,31785,7,829
IMG_3653.png,1,85,7692,3,116
IMG_3647.png,3,200,22112,9,192
IMG_4128.png,5,351,20345,4,304
IMG_3900.png,3,1093,6077,3,125
IMG_3928.png,10,896,15783,10,372
IMG_4074.png,8,520,17693,8,309
IMG_4060.png,9,575,21969,8,424
IMG_4048.png,10,663,21123,9,478
IMG_3727.png,5,425,16433,5,327
IMG_4007.png,13,794,25534,12,489
IMG_3967.png,2,1444,40998,4,172
IMG_3797.png,9,506,10584,8,241
IMG_4205.png,1,60,6952,2,69
IMG_4211.png,0,0,1942,1,1
IMG_4173.png,3,147,9561,6,94
IMG_3608.png,9,456,23272,9,250
IMG_4167.png,3,277,9756,4,368
IMG_3620.png,9,421,14530,7,308
IMG_3634.png,3,182,16661,6,108
IMG_3807.png,5,259,2343,1,191
IMG_3813.png,3,2869,11424,3,162
IMG_4198.png,2,111,4911,2,88
IMG_4199.png,2,171,6031,2,221
IMG_3812.png,3,258,7328,4,142
IMG_3806.png,9,429,5609,4,241
IMG_3635.png,3,146,14579,8,100
IMG_3621.png,9,408,15807,8,309
IMG_4166.png,3,55,3662,3,54
IMG_3609.png,9,417,21380,10,207
IMG_4172.png,3,257,11160,3,208
IMG_4210.png,0,0,0,0,1
IMG_4204.png,1,67,5230,1,98
IMG_3796.png,9,274,4728,3,185
IMG_3966.png,2,1959,96366,2,266
IMG_3972.png,10,1295,32482,14,465
IMG_3999.png,13,860,28803,13,466
IMG_4010.png,12,629,28536,12,434
IMG_4004.png,13,798,25868,11,530
IMG_4038.png,10,470,16521,11,351
