file,label,Lines,Contours,Contours Size,Fast,Contours Colour,Contours Size Colour
IMG_4064.png,9,669,3,9363,409,8,20269
IMG_4070.png,9,668,4,12276,419,8,25076
IMG_4058.png,9,687,2,12261,468,8,26813
IMG_3723.png,6,267,1,3983,172,4,10509
IMG_3910.png,3,505,1,4453,142,2,17860
IMG_3904.png,3,407,2,5085,138,4,8005
IMG_3938.png,6,639,1,8473,269,6,10848
IMG_4110.png,6,469,1,9992,324,5,16843
IMG_4104.png,6,357,1,4921,282,6,12807
IMG_3643.png,3,128,1,2712,120,3,8104
IMG_3657.png,2,102,2,2006,76,1,2774
IMG_4138.png,4,102,1,2828,86,4,5083
IMG_3864.png,9,439,1,7542,250,5,8482
IMG_3870.png,7,591,4,5328,228,3,5330
IMG_3858.png,9,446,3,7500,255,4,24776
IMG_3680.png,9,445,1,10642,340,7,16439
IMG_3694.png,5,372,2,7722,211,5,17061
IMG_3695.png,4,219,3,4694,149,5,10778
IMG_3681.png,7,461,2,11787,351,6,15399
IMG_3859.png,9,545,5,7602,284,6,8526
IMG_3871.png,7,534,1,4378,198,6,28826
IMG_3865.png,9,613,3,7043,284,3,8127
IMG_4139.png,4,81,1,1411,74,4,4574
IMG_3656.png,1,91,3,3769,124,1,809
IMG_3642.png,3,149,1,4814,187,3,7362
IMG_4105.png,6,541,3,10477,513,6,18871
IMG_4111.png,6,330,1,5404,204,5,12570
IMG_3939.png,6,431,1,7951,209,4,7938
IMG_3905.png,3,210,1,4574,199,1,3138
IMG_3911.png,11,836,1,10275,375,8,17206
IMG_3722.png,6,466,1,8451,289,6,15623
IMG_4059.png,9,540,2,7948,311,8,19876
IMG_4071.png,8,365,1,6057,209,5,12183
IMG_4065.png,9,844,4,14256,541,8,27312
IMG_4073.png,8,518,2,12167,407,6,22492
IMG_4067.png,9,1066,1,23380,809,9,32585
IMG_3708.png,10,646,4,9225,297,8,18836
IMG_3720.png,7,411,1,6885,199,5,12160
IMG_3907.png,2,502,1,4247,189,3,3456
IMG_3913.png,11,655,2,7050,326,11,17211
IMG_4098.png,7,359,1,8532,327,5,15626
IMG_3668.png,4,262,2,5574,179,4,11354
IMG_4107.png,6,326,1,5213,255,5,12263
IMG_3654.png,1,79,3,3831,119,1,6025
IMG_3640.png,3,231,2,8846,266,3,11340
IMG_3898.png,3,2336,1,5676,245,4,9392
IMG_3873.png,7,782,2,5284,226,5,7345
IMG_3697.png,2,76,1,1874,75,1,5335
IMG_3683.png,7,393,1,6346,257,4,11479
IMG_3696.png,2,93,2,1984,103,2,5849
IMG_3872.png,7,507,1,3666,212,4,18091
IMG_3899.png,3,1528,1,3337,163,4,7085
IMG_3641.png,3,207,1,7204,221,3,9329
IMG_3655.png,1,96,3,3428,101,1,5807
IMG_4112.png,6,728,2,17606,682,5,28346
IMG_4106.png,6,354,1,7144,352,5,13739
IMG_4099.png,7,653,1,16346,552,6,25179
IMG_3912.png,11,770,2,11095,343,12,22927
IMG_3906.png,3,414,1,5408,237,1,1493
IMG_3721.png,7,647,1,11001,383,5,18465
IMG_3709.png,6,365,3,7387,220,4,9472
IMG_4066.png,9,850,1,18795,616,8,30185
IMG_4072.png,8,749,1,14843,456,6,25370
IMG_3725.png,5,315,2,7045,258,4,14463
IMG_3731.png,5,419,2,9262,202,5,14807
IMG_3719.png,7,399,1,7200,217,5,12876
IMG_4076.png,8,738,2,10496,479,6,24619
IMG_4062.png,9,430,3,6981,250,8,17317
IMG_4089.png,7,901,2,16997,709,7,34101
IMG_3902.png,3,726,1,2551,144,4,6825
IMG_3916.png,11,1074,3,17894,549,8,27367
IMG_3651.png,1,75,1,1526,84,2,5540
IMG_3889.png,5,496,2,7936,246,5,12907
IMG_3645.png,3,180,1,6234,167,4,10316
IMG_4102.png,6,363,3,6206,238,5,10575
IMG_4116.png,6,726,3,18182,726,5,23315
IMG_3679.png,9,427,1,9541,311,7,15464
IMG_3692.png,5,363,3,10018,252,4,16120
IMG_3876.png,7,520,3,6898,229,3,7027
IMG_3862.png,9,573,2,8013,287,5,9514
IMG_3863.png,9,433,2,5594,245,3,7084
IMG_3877.png,7,460,2,7595,251,6,23964
IMG_3687.png,6,248,1,4059,163,6,9921
IMG_3693.png,5,377,2,8443,217,5,17433
IMG_3678.png,8,365,1,6574,239,6,13083
IMG_4117.png,6,1073,2,23849,1088,6,35605
IMG_4103.png,6,555,1,14040,500,5,22815
IMG_3644.png,3,155,1,3748,100,4,8270
IMG_3650.png,6,387,1,8476,196,5,11312
IMG_3917.png,11,1112,4,15224,485,12,27048
IMG_3903.png,3,1490,1,2525,143,3,5293
IMG_4088.png,7,396,1,8550,349,6,19533
IMG_4063.png,9,489,2,7853,317,8,18417
IMG_4077.png,8,925,3,15115,596,6,27503
IMG_3718.png,7,386,3,5450,210,5,10873
IMG_3724.png,5,383,2,8233,323,4,16956
IMG_3726.png,5,324,1,9726,299,4,15437
IMG_4049.png,10,696,2,11932,474,9,20925
IMG_4061.png,9,619,4,8343,367,9,19261
IMG_4075.png,8,408,2,6193,186,5,13594
IMG_3929.png,10,746,4,8101,319,9,16799
IMG_3915.png,11,663,1,7592,292,10,19132
IMG_3901.png,3,600,3,3912,118,4,6674
IMG_4129.png,5,445,3,12355,389,4,22014
IMG_3646.png,3,289,2,8272,265,3,11771
IMG_3652.png,1,71,1,1706,90,1,3662
IMG_4115.png,6,450,1,8700,340,6,16926
IMG_4101.png,6,532,2,14624,479,5,20620
IMG_3685.png,5,253,1,5376,185,5,10879
IMG_3849.png,7,341,2,5898,250,5,8474
IMG_3691.png,5,384,2,8471,228,4,14717
IMG_3861.png,9,595,1,4142,268,7,13752
IMG_3875.png,7,735,3,3027,210,5,7404
IMG_3874.png,7,899,4,4404,214,8,10700
IMG_3860.png,9,635,3,9588,295,7,9904
IMG_3690.png,5,377,2,8344,281,5,17925
IMG_3848.png,11,630,3,10553,428,7,11866
IMG_3684.png,5,238,1,5654,190,5,11036
IMG_4100.png,7,550,3,10055,355,6,19207
IMG_4114.png,6,738,6,19823,829,7,31785
IMG_3653.png,1,85,4,3964,116,1,5146
IMG_3647.png,3,200,1,6355,192,4,11033
IMG_4128.png,5,351,2,8096,304,4,20345
IMG_3900.png,3,1093,2,3095,125,3,6077
IMG_3928.png,10,896,3,10881,372,10,15783
IMG_4074.png,8,520,1,7451,309,8,17693
IMG_4060.png,9,575,1,10833,424,8,21969
IMG_4048.png,10,663,1,10224,478,9,21123
IMG_3727.png,5,425,3,9829,327,5,16433
IMG_4007.png,13,794,3,13834,489,11,24200
IMG_3967.png,2,1444,1,4017,172,4,40998
IMG_3797.png,9,506,2,5834,241,8,10584
IMG_4205.png,1,60,1,1404,69,1,3090
IMG_4211.png,0,0,0,0,1,0,0
IMG_4173.png,3,147,3,3293,94,3,5612
IMG_3608.png,9,456,2,6957,250,6,13899
IMG_4167.png,3,277,1,7699,368,4,9756
IMG_3620.png,9,421,1,8641,308,6,13201
IMG_3634.png,3,182,1,3979,108,2,5273
IMG_3807.png,5,259,2,4806,191,1,2343
IMG_3813.png,3,2869,1,3592,162,3,11424
IMG_4198.png,2,111,1,1994,88,2,4911
IMG_4199.png,2,171,1,5511,221,2,6031
IMG_3812.png,3,258,1,3238,142,4,7328
IMG_3806.png,9,429,1,6373,241,4,5609
IMG_3635.png,3,146,1,3157,100,2,4358
IMG_3621.png,9,408,1,8820,309,6,12902
IMG_4166.png,3,55,1,1006,54,1,1261
IMG_3609.png,9,417,1,5429,207,6,11659
IMG_4172.png,3,257,3,4339,208,3,11160
IMG_4210.png,0,0,0,0,1,0,0
IMG_4204.png,1,67,2,2264,98,1,5230
IMG_3796.png,9,274,1,4850,185,3,4728
IMG_3966.png,2,1959,1,8844,266,2,96366
IMG_3972.png,10,1295,4,11831,465,14,32482
IMG_3999.png,13,860,1,12381,466,11,26775
IMG_4010.png,12,629,1,11673,434,10,23410
IMG_4004.png,13,798,2,13198,530,10,24435
IMG_4038.png,10,470,2,6770,351,10,14158
IMG_3964.png,3,1470,2,10546,328,5,22719
IMG_3970.png,10,1270,4,14633,594,9,16565
IMG_3958.png,3,2895,1,12948,436,7,45142
IMG_4212.png,0,0,0,0,1,0,0
IMG_4206.png,1,35,2,1745,54,1,3049
IMG_4164.png,3,597,4,11655,737,4,19285
IMG_4170.png,3,155,1,1415,141,3,4412
IMG_3637.png,3,139,1,4274,152,2,6509
IMG_4158.png,3,166,1,3930,173,3,8992
IMG_3623.png,6,355,2,7444,223,5,11601
IMG_3810.png,5,280,3,2872,183,2,3463
IMG_3838.png,6,1302,2,3218,198,8,14557
IMG_3839.png,6,540,2,3120,183,6,8652
IMG_3805.png,8,332,1,4327,165,3,5690
IMG_3811.png,3,90,1,984,81,3,4006
IMG_3622.png,6,306,2,6199,189,5,10555
IMG_4159.png,3,80,1,1100,72,3,4427
IMG_3636.png,3,169,1,2776,110,2,4599
IMG_4171.png,3,130,1,2763,112,3,5625
IMG_4165.png,3,173,1,7079,197,3,9107
IMG_4207.png,1,66,1,1368,100,1,3886
IMG_4213.png,0,0,0,0,0,0,0
IMG_3795.png,9,293,1,5679,206,4,5661
IMG_3959.png,5,1757,1,13750,569,8,31226
IMG_3971.png,10,1408,3,12685,539,10,21552
IMG_3965.png,2,2952,2,10455,344,4,61665
IMG_4039.png,10,344,1,8021,351,7,13474
IMG_4005.png,13,788,2,12592,508,10,25643
IMG_4011.png,12,978,2,18780,611,10,33586
IMG_4029.png,11,519,2,6673,298,9,16411
IMG_4015.png,12,895,3,11761,487,11,28942
IMG_4001.png,13,767,2,11502,442,13,26573
IMG_3791.png,9,535,5,5700,250,6,8619
IMG_3949.png,4,539,1,4770,160,3,7508
IMG_3961.png,4,2067,1,15532,579,8,27338
IMG_3975.png,14,1125,1,24148,736,10,37127
IMG_4217.png,0,90,1,1457,62,1,7208
IMG_4203.png,1,38,1,1400,58,1,2482
IMG_3632.png,6,253,1,4728,175,4,8131
IMG_4149.png,4,425,3,11037,499,4,18380
IMG_3626.png,6,415,1,8981,257,5,15884
IMG_4161.png,3,259,1,9766,400,3,14906
IMG_4175.png,3,248,1,5894,204,3,10019
IMG_3829.png,4,488,3,6094,242,6,13961
IMG_3815.png,5,630,4,7749,302,4,5128
IMG_3801.png,9,420,1,5193,244,4,5983
IMG_3800.png,9,451,4,5884,256,5,7899
IMG_3814.png,3,586,1,3970,134,4,10240
IMG_3828.png,4,235,1,4206,197,5,9291
IMG_4174.png,3,168,1,2392,123,3,5695
IMG_4160.png,3,84,1,2078,104,2,2845
IMG_3627.png,6,510,3,14420,423,5,19993
IMG_4148.png,4,258,2,3669,230,4,9781
IMG_3633.png,3,208,1,4207,137,2,6310
IMG_4202.png,2,102,2,2256,136,2,5931
IMG_4216.png,0,0,0,0,1,0,0
IMG_3960.png,5,1888,2,16271,681,7,35752
IMG_3948.png,4,401,2,5173,146,3,6907
IMG_3790.png,9,576,5,7352,266,4,10829
IMG_4014.png,12,823,2,12700,451,9,27252
IMG_4028.png,11,324,1,4293,246,6,10619
IMG_3989.png,14,579,1,6898,349,8,17569
IMG_4002.png,13,787,2,10633,454,10,23001
IMG_4016.png,12,453,3,7801,282,7,16164
IMG_3792.png,9,466,2,4653,242,4,6807
IMG_3976.png,13,1038,1,19178,748,10,34627
IMG_3962.png,4,2900,1,14769,495,6,74655
IMG_4200.png,2,104,2,2850,131,1,4785
IMG_4214.png,0,0,0,0,1,0,0
IMG_3625.png,6,415,2,10004,301,5,16810
IMG_3631.png,6,316,2,7419,200,5,11904
IMG_4176.png,3,124,1,3373,78,3,5137
IMG_3619.png,9,417,1,8854,313,6,13445
IMG_4162.png,3,216,1,7831,320,3,11527
IMG_4189.png,2,183,3,5858,206,2,10883
IMG_3802.png,9,445,2,6759,291,5,7920
IMG_3816.png,5,715,2,5526,188,3,5918
IMG_3817.png,5,702,1,5455,229,4,11424
IMG_3803.png,9,374,3,5063,205,4,6819
IMG_4188.png,2,32,1,1319,46,2,2272
IMG_4163.png,3,188,2,5200,237,4,6173
IMG_3618.png,9,443,1,8764,308,6,13579
IMG_4177.png,3,123,1,1571,103,2,5667
IMG_3630.png,6,604,4,16007,522,5,24164
IMG_3624.png,6,301,2,7055,171,5,11252
IMG_4215.png,0,0,0,0,0,0,0
IMG_4201.png,2,68,2,2346,88,2,3715
IMG_3963.png,3,2204,1,10703,389,5,45066
IMG_3977.png,13,1019,1,26608,837,10,37334
IMG_3793.png,9,453,2,6048,258,6,10038
IMG_4017.png,12,646,3,7214,327,10,20054
IMG_4003.png,13,935,3,16627,542,8,28199
IMG_3988.png,13,596,2,7772,357,6,15276
IMG_3991.png,14,938,2,16204,610,8,29580
IMG_4026.png,11,420,1,6266,259,7,11973
IMG_3985.png,12,489,1,8683,348,9,15316
IMG_4032.png,11,506,1,8725,320,8,17393
IMG_3952.png,3,849,1,2318,107,3,3635
IMG_3946.png,5,425,4,4927,179,4,6281
IMG_4224.png,3,339,2,7079,286,3,8422
IMG_4218.png,0,41,1,825,29,1,2410
IMG_4152.png,4,204,1,4341,188,3,9707
IMG_3629.png,6,660,3,16971,493,5,23234
IMG_4146.png,4,162,1,2071,181,4,8329
IMG_3615.png,9,365,1,5826,230,5,8697
IMG_3826.png,2,577,1,1563,76,2,6126
IMG_4191.png,2,63,1,839,54,2,3798
IMG_3832.png,4,2936,1,2496,138,3,6720
IMG_4185.png,2,299,7,10481,310,4,15963
IMG_4184.png,2,182,2,3610,126,2,6877
IMG_3833.png,4,2890,2,4434,217,7,14081
IMG_4190.png,2,191,2,6952,263,2,12372
IMG_3827.png,3,379,1,5496,270,3,7868
IMG_3614.png,9,429,3,6910,262,6,13301
IMG_4147.png,4,363,1,11964,394,4,15231
IMG_3628.png,6,535,3,15201,428,5,21473
IMG_4153.png,4,192,2,4312,152,4,8756
IMG_4219.png,0,34,0,0,26,1,2060
IMG_4225.png,3,278,1,5452,250,3,6809
IMG_3947.png,4,628,3,4294,158,2,3601
IMG_3953.png,3,1817,2,7008,287,5,9907
IMG_4033.png,11,410,1,5941,254,8,14653
IMG_3984.png,14,676,3,9681,410,10,17253
IMG_4027.png,11,397,1,6434,248,7,11287
IMG_3990.png,14,928,1,17647,501,9,29655
IMG_3986.png,13,603,2,7205,323,11,16285
IMG_4031.png,11,455,1,5907,270,10,15014
IMG_3992.png,14,906,2,12516,549,11,26182
IMG_4025.png,11,558,3,8211,359,7,15559
IMG_4019.png,12,594,4,7774,311,10,17356
IMG_3945.png,5,504,3,6972,199,4,8628
IMG_3789.png,9,624,1,12209,335,6,12656
IMG_3951.png,4,453,1,4109,128,4,6845
IMG_3979.png,14,759,1,11068,449,10,20931
IMG_4145.png,4,162,1,2745,108,4,6268
IMG_4151.png,4,652,2,19735,810,4,26109
IMG_3616.png,9,391,1,6304,231,5,9437
IMG_4179.png,3,265,3,6136,260,3,16236
IMG_3831.png,4,1400,2,3344,169,5,11587
IMG_4186.png,2,98,2,2017,69,2,2992
IMG_3825.png,1,1127,1,2044,82,2,7559
IMG_4192.png,2,386,2,18669,582,2,19656
IMG_3819.png,5,389,2,6541,228,3,2994
IMG_3818.png,5,414,1,7299,258,5,6449
IMG_4193.png,2,111,2,3080,79,2,5799
IMG_3824.png,1,1115,1,1657,126,0,0
IMG_4187.png,2,107,2,3288,110,2,6349
IMG_3830.png,4,2418,3,6395,304,5,12888
IMG_4178.png,3,160,1,2211,118,3,7197
IMG_3617.png,8,434,1,8881,294,5,13384
IMG_4150.png,4,337,3,8293,376,5,15911
IMG_4144.png,4,528,4,12253,448,4,21615
IMG_4226.png,3,341,2,4963,153,3,8385
IMG_3978.png,13,945,2,20787,667,8,34452
IMG_3950.png,4,990,1,4644,145,3,7492
IMG_3788.png,9,767,1,12742,391,7,16300
IMG_3944.png,5,377,2,6820,199,3,7445
IMG_4018.png,12,630,4,7849,331,10,17983
IMG_4024.png,11,561,3,8380,311,7,16680
IMG_3993.png,13,880,1,11889,542,11,26650
IMG_4030.png,11,498,2,7457,325,8,13750
IMG_3987.png,13,692,2,10366,435,9,18140
IMG_4008.png,12,769,3,13439,481,12,25300
IMG_4034.png,11,420,1,5306,286,7,14033
IMG_3997.png,13,817,3,14138,572,12,26553
IMG_4020.png,11,497,2,7313,297,7,14810
IMG_3968.png,2,1670,1,1470,172,5,17650
IMG_3798.png,9,456,2,8342,268,4,6375
IMG_3940.png,6,502,1,7988,235,3,12196
IMG_3954.png,3,3103,1,10237,331,5,10891
IMG_4222.png,3,272,2,4407,149,3,6453
IMG_3613.png,9,497,1,8240,312,6,15656
IMG_4168.png,3,101,1,2737,115,3,4672
IMG_4140.png,4,303,1,6498,310,4,16267
IMG_4154.png,4,404,3,12263,500,4,22485
IMG_3808.png,5,251,1,4151,176,1,1923
IMG_3834.png,5,2289,1,4114,216,4,9986
IMG_4183.png,2,33,1,885,43,2,2471
IMG_3820.png,0,80,0,0,16,0,0
IMG_4197.png,2,41,1,1266,37,1,2590
IMG_4196.png,2,112,1,5141,205,2,5174
IMG_3821.png,0,328,0,0,17,0,0
IMG_4182.png,2,158,1,3510,187,2,7940
IMG_3809.png,5,283,2,3869,195,2,3687
IMG_4155.png,3,116,1,2164,126,3,5167
IMG_4141.png,4,279,2,4404,202,4,13517
IMG_4169.png,3,303,2,6800,409,4,10878
IMG_3612.png,9,532,2,13906,392,7,18190
IMG_4223.png,3,295,2,6435,271,3,7632
IMG_3955.png,3,2678,2,11129,365,5,14173
IMG_3941.png,6,1527,3,13888,434,10,60997
IMG_3799.png,9,478,3,7726,302,5,34675
IMG_3969.png,10,1325,1,17343,683,10,31880
IMG_4021.png,10,531,3,8872,389,9,17419
IMG_3996.png,13,968,3,15841,679,12,28561
IMG_4035.png,11,428,1,5492,311,8,14458
IMG_3982.png,14,670,2,7564,345,11,17257
IMG_4009.png,12,802,3,13571,445,8,27540
IMG_3994.png,13,950,2,17495,601,10,28167
IMG_4023.png,11,540,3,9129,350,10,19308
IMG_3980.png,14,653,3,9390,431,10,17494
IMG_4037.png,11,455,2,6377,333,10,13846
IMG_3957.png,4,3080,2,12234,444,7,21015
IMG_3943.png,5,734,2,5443,230,5,11309
IMG_4209.png,0,0,0,0,1,0,0
IMG_4221.png,3,292,2,3064,107,4,7480
IMG_3610.png,9,488,1,11233,341,8,17887
IMG_4157.png,3,388,2,14422,483,3,19897
IMG_3638.png,3,136,1,4273,131,2,6175
IMG_4143.png,4,361,1,8132,202,4,13008
IMG_3823.png,0,1,0,0,13,0,0
IMG_4194.png,2,187,1,8845,238,2,9368
IMG_3837.png,6,563,1,4275,187,7,22335
IMG_4180.png,2,145,2,3702,162,2,8654
IMG_4181.png,2,48,1,1012,56,2,2627
IMG_3836.png,6,520,2,6264,214,7,11495
IMG_4195.png,2,165,1,6130,175,2,8776
IMG_3822.png,0,313,0,0,19,0,0
IMG_4142.png,4,115,1,2619,89,4,4869
IMG_3639.png,3,229,2,7702,278,3,11291
IMG_4156.png,3,378,2,15849,549,3,21846
IMG_3611.png,9,539,1,12237,364,8,19008
IMG_4220.png,0,77,1,1405,70,1,4314
IMG_4208.png,1,42,1,876,39,1,2978
IMG_3942.png,10,557,2,8660,310,4,8315
IMG_3956.png,4,2817,3,12825,461,7,24455
IMG_4036.png,11,450,1,4907,238,9,11765
IMG_3981.png,14,683,3,8077,430,12,18213
IMG_4022.png,11,512,3,8112,401,10,18622
IMG_3995.png,13,927,2,17848,611,11,32160
IMG_4045.png,10,515,1,8270,288,5,15419
IMG_4051.png,10,911,3,17514,572,10,32457
IMG_4079.png,8,747,2,10375,500,8,25149
IMG_3716.png,9,633,3,10261,303,6,17678
IMG_3702.png,5,305,3,4468,152,3,9069
IMG_4086.png,7,557,2,10639,447,7,18541
IMG_3931.png,10,633,3,9574,328,9,12679
IMG_4092.png,7,538,1,12645,461,5,20977
IMG_3925.png,10,778,3,10711,348,7,11816
IMG_3919.png,11,1034,4,12766,463,12,18808
IMG_4131.png,5,549,3,15860,650,6,21565
IMG_3886.png,5,435,3,5798,253,5,10862
IMG_4125.png,5,528,3,17344,620,5,23763
IMG_3892.png,4,1431,2,3765,215,5,16065
IMG_3676.png,6,392,1,8608,234,5,11058
IMG_4119.png,6,294,2,4624,161,5,11040
IMG_3845.png,11,476,2,8007,347,6,10397
IMG_3851.png,10,559,3,10271,430,7,13660
IMG_3689.png,5,324,2,7715,259,5,16796
IMG_3879.png,6,1291,1,4473,188,7,11064
IMG_3878.png,8,459,1,5350,219,8,12184
IMG_3688.png,6,422,2,7638,290,7,18030
IMG_3850.png,10,602,1,12420,428,6,14949
IMG_3844.png,11,656,5,10175,382,10,15001
IMG_4118.png,6,599,3,13344,460,5,22152
IMG_3677.png,8,404,1,5893,233,6,12682
IMG_3663.png,2,133,1,2686,140,1,3736
IMG_3893.png,4,216,2,2622,153,3,5410
IMG_4124.png,5,363,3,9674,357,4,14140
IMG_3887.png,5,410,2,5209,246,4,10631
IMG_4130.png,5,469,1,12428,444,5,21226
IMG_3918.png,11,891,1,10327,409,7,23251
IMG_3924.png,11,850,3,10877,351,7,14795
IMG_4093.png,7,480,3,9485,358,5,18256
IMG_3930.png,10,924,5,9308,324,9,14881
IMG_4087.png,7,621,3,15680,500,6,23692
IMG_3703.png,9,567,1,9732,345,5,16195
IMG_3717.png,9,597,3,9543,306,6,17655
IMG_4078.png,8,388,2,5017,258,7,11362
IMG_4050.png,10,1134,4,19270,861,10,33725
IMG_4044.png,10,569,3,10428,450,9,17451
IMG_4052.png,10,563,2,10639,309,9,18908
IMG_4046.png,10,488,1,11237,406,7,20819
IMG_3701.png,5,280,2,4887,166,3,8869
IMG_3715.png,10,611,3,9237,301,7,18460
IMG_4091.png,7,660,2,15948,613,6,24816
IMG_3926.png,10,701,1,6378,273,5,7602
IMG_4085.png,7,415,1,8260,369,5,12552
IMG_3932.png,10,953,4,9214,372,8,16536
IMG_3649.png,6,373,1,8441,214,5,11852
IMG_4126.png,5,410,2,7569,325,5,14552
IMG_3891.png,4,461,1,6368,252,5,8361
IMG_4132.png,5,456,1,11375,419,5,14665
IMG_3885.png,5,470,4,7163,259,8,21482
IMG_3675.png,6,461,2,8837,285,5,13195
IMG_3661.png,2,71,1,1808,88,0,0
IMG_3852.png,10,724,5,8670,386,8,13609
IMG_3846.png,10,399,2,7892,321,5,9046
IMG_3847.png,11,675,1,11815,437,9,16766
IMG_3853.png,10,543,1,6929,335,4,11213
IMG_3660.png,2,95,2,2930,94,1,1298
IMG_3674.png,6,564,2,13462,435,5,19629
IMG_3884.png,5,457,1,4832,205,4,7965
IMG_4133.png,5,714,3,17740,703,7,25403
IMG_4127.png,5,179,1,3820,124,4,8439
IMG_3648.png,3,144,1,5096,146,4,8939
IMG_3933.png,10,554,3,7812,292,8,10183
IMG_4084.png,8,498,1,10428,373,5,15833
IMG_3927.png,10,784,3,7830,296,8,11172
IMG_4090.png,7,328,2,6435,251,7,14004
IMG_3714.png,10,654,3,10152,310,7,18503
IMG_3700.png,2,105,1,2280,87,2,6046
IMG_3728.png,5,215,2,4858,121,4,10503
IMG_4047.png,10,355,1,8390,343,5,14908
IMG_4053.png,10,684,4,12478,366,8,22327
IMG_3704.png,9,646,1,10483,446,5,19293
IMG_3710.png,6,384,3,6978,229,4,10320
IMG_4057.png,9,430,2,5594,275,8,13813
IMG_4043.png,10,582,3,10251,473,9,22057
IMG_4094.png,7,927,3,26351,875,5,38739
IMG_3923.png,11,681,2,10150,372,9,10827
IMG_4080.png,8,686,1,10920,442,7,23725
IMG_3670.png,6,379,1,8501,232,6,13316
IMG_3664.png,4,226,2,3628,187,4,8571
IMG_4123.png,5,378,2,8638,278,4,15977
IMG_3894.png,4,232,2,2283,153,2,4218
IMG_4137.png,4,394,2,9583,277,4,14684
IMG_3658.png,2,81,1,3126,83,1,3084
IMG_3880.png,6,2256,1,7644,266,6,15460
IMG_3857.png,9,602,6,8735,326,4,8607
IMG_3843.png,11,709,2,12694,436,6,18099
IMG_3842.png,11,728,2,15504,500,6,16609
IMG_3856.png,9,487,4,7040,352,6,11594
IMG_3881.png,6,1037,2,5696,234,6,11913
IMG_3659.png,2,117,1,4107,128,1,4185
IMG_4136.png,5,223,2,4079,158,5,9859
IMG_3895.png,4,982,2,6068,241,5,8637
IMG_4122.png,5,319,2,6776,263,4,12851
IMG_3665.png,4,218,1,4940,156,5,11898
IMG_3671.png,6,435,2,8694,303,4,13841
IMG_3936.png,6,347,1,4584,172,3,4818
IMG_4081.png,8,604,2,12320,441,7,19888
IMG_3922.png,11,683,2,11264,390,4,6938
IMG_4042.png,10,738,2,12810,461,9,22616
IMG_4056.png,9,629,1,8724,435,9,20572
IMG_3711.png,4,204,2,5012,150,4,9893
IMG_3705.png,9,670,1,11813,425,5,18218
IMG_3713.png,4,230,2,3329,144,2,5600
IMG_3707.png,10,562,4,7561,283,8,17210
IMG_4068.png,9,421,1,6635,286,9,13928
IMG_4040.png,10,393,1,6042,300,10,14068
