batch_size,eta,epochs,layers,nodes,accuracy
1,0.1,100,1,16,0.27768374164810694
1,0.1,100,1,32,0.2754724078198466
1,0.1,100,1,48,0.2843850532046523
1,0.1,100,1,64,0.2759267508042563
1,0.1,100,1,128,0.28170353872803766
1,0.1,100,2,16,0.0827537738183618
1,0.1,100,2,32,0.06942242019302154
1,0.1,100,2,48,0.06764266270725068
1,0.1,100,2,64,0.0680890868596882
1,0.1,100,2,128,0.08275575352635486
1,0.1,100,3,16,0.06719821826280624
1,0.1,100,3,32,0.08056124721603564
1,0.1,100,3,48,0.06719821826280624
1,0.1,100,3,64,0.06719821826280624
1,0.1,100,3,128,0.06719821826280624
1,0.1,200,1,16,0.26703588220737445
1,0.1,200,1,32,0.26703885176936404
1,0.1,200,1,48,0.26835139816877007
1,0.1,200,1,64,0.28703984162336055
1,0.1,200,1,128,0.28081267013115563
1,0.1,200,2,16,0.10142341004701808
1,0.1,200,2,32,0.0680890868596882
1,0.1,200,2,48,0.0680890868596882
1,0.1,200,2,64,0.11964464241524375
1,0.1,200,2,128,0.06897896560257362
1,0.1,200,3,16,0.06719821826280624
1,0.1,200,3,32,0.06719821826280624
1,0.1,200,3,48,0.06719821826280624
1,0.1,200,3,64,0.06719821826280624
1,0.1,200,3,128,0.06719821826280624
1,0.1,500,1,16,0.24831576342489478
1,0.1,500,1,32,0.2638970551843603
1,0.1,500,1,48,0.2425379856471171
1,0.1,500,1,64,0.28614204404850285
1,0.1,500,1,128,0.25590893343231874
1,0.1,500,2,16,0.06853452115812918
1,0.1,500,2,32,0.06764365256124721
1,0.1,500,2,48,0.06719821826280624
1,0.1,500,2,64,0.06719821826280624
1,0.1,500,2,128,0.06764365256124723
1,0.1,500,3,16,0.06719821826280624
1,0.1,500,3,32,0.08056124721603564
1,0.1,500,3,48,0.06719821826280624
1,0.1,500,3,64,0.06719821826280624
1,0.1,500,3,128,0.08056124721603564
1,0.1,800,1,16,0.25455877258104426
1,0.1,800,1,32,0.2558911160603811
1,0.1,800,1,48,0.26123335807968323
1,0.1,800,1,64,0.27458351893095767
1,0.1,800,1,128,0.2607968324672111
1,0.1,800,2,16,0.06719821826280624
1,0.1,800,2,32,0.06808710715169512
1,0.1,800,2,48,0.06719821826280624
1,0.1,800,2,64,0.06719821826280624
1,0.1,800,2,128,0.06719821826280624
1,0.1,800,3,16,0.06719821826280624
1,0.1,800,3,32,0.06719821826280624
1,0.1,800,3,48,0.08056124721603564
1,0.1,800,3,64,0.08056124721603564
1,0.1,800,3,128,0.06719821826280624
1,0.1,1000,1,16,0.25232764167285326
1,0.1,1000,1,32,0.2683573372927493
1,0.1,1000,1,48,0.26387725810442964
1,0.1,1000,1,64,0.2758970551843603
1,0.1,1000,1,128,0.2692432566196486
1,0.1,1000,2,16,0.06897896560257362
1,0.1,1000,2,32,0.06719821826280624
1,0.1,1000,2,48,0.06719821826280624
1,0.1,1000,2,64,0.06719821826280624
1,0.1,1000,2,128,0.0667537738183618
1,0.1,1000,3,16,0.06719821826280624
1,0.1,1000,3,32,0.06719821826280624
1,0.1,1000,3,48,0.06719821826280624
1,0.1,1000,3,64,0.06719821826280624
1,0.1,1000,3,128,0.06719821826280624
1,0.01,100,1,16,0.39207423904974015
1,0.01,100,1,32,0.40186884434545905
1,0.01,100,1,48,0.41120910665676813
1,0.01,100,1,64,0.4076456322692403
1,0.01,100,1,128,0.40364761197723337
1,0.01,100,2,16,0.3782826033160108
1,0.01,100,2,32,0.41030833951992085
1,0.01,100,2,48,0.3943122989359069
1,0.01,100,2,64,0.41432318732986884
1,0.01,100,2,128,0.39875773323434793
1,0.01,100,3,16,0.32667953476862166
1,0.01,100,3,32,0.37160207869339273
1,0.01,100,3,48,0.39611878247958426
1,0.01,100,3,64,0.3978926008413759
1,0.01,100,3,128,0.410757733234348
1,0.01,200,1,16,0.4254501361049246
1,0.01,200,1,32,0.4223301163078446
1,0.01,200,1,48,0.42767730759712946
1,0.01,200,1,64,0.42233308586983415
1,0.01,200,1,128,0.4245622370700321
