batch_size,eta,epochs,layers,nodes,accuracy
16,0.01,300,1,32,0.2572323682256867
16,0.01,300,1,64,0.2590081662954714
16,0.01,300,1,128,0.26790992328631524
16,0.01,300,2,32,0.2870438010393467
16,0.01,300,2,64,0.3159811927740658
16,0.01,300,2,128,0.34804256372185105
16,0.01,300,3,32,0.3208869091808958
16,0.01,300,3,64,0.36359020044543433
16,0.01,300,3,128,0.36045632269240285
16,0.01,500,1,32,0.2670180648354368
16,0.01,500,1,64,0.27903786191536756
16,0.01,500,1,128,0.28081563969314527
16,0.01,500,2,32,0.3435644642415244
16,0.01,500,2,64,0.3814046028210839
16,0.01,500,2,128,0.3893996535511012
16,0.01,500,3,32,0.37425389755011135
16,0.01,500,3,64,0.37068151447661474
16,0.01,500,3,128,0.4263499133877753
16,0.01,800,1,32,0.29638901262063844
16,0.01,800,1,64,0.30262311309081913
16,0.01,800,1,128,0.31109032417718385
16,0.01,800,2,32,0.3644889878742885
16,0.01,800,2,64,0.38715565454095524
16,0.01,800,2,128,0.4116624597871814
16,0.01,800,3,32,0.38718930957683745
16,0.01,800,3,64,0.4108171244741401
16,0.01,800,3,128,0.4437268002969562
32,0.01,300,1,32,0.2701242266765652
32,0.01,300,1,64,0.25411729769858943
32,0.01,300,1,128,0.259454590447909
32,0.01,300,2,32,0.2594595397178916
32,0.01,300,2,64,0.2701430339024994
32,0.01,300,2,128,0.2648027715911903
32,0.01,300,3,32,0.26924622618163824
32,0.01,300,3,64,0.2519138827023014
32,0.01,300,3,128,0.3146607275426875
32,0.01,500,1,32,0.2674595397178916
32,0.01,500,1,64,0.2683583271467459
32,0.01,500,1,128,0.2625726305369958
32,0.01,500,2,32,0.26434347933679786
32,0.01,500,2,64,0.3053283840633506
32,0.01,500,2,128,0.3235555555555556
32,0.01,500,3,32,0.2959920811680278
32,0.01,500,3,64,0.3618243009156149
32,0.01,500,3,128,0.3667359564464242
32,0.01,800,1,32,0.27280376144518687
32,0.01,800,1,64,0.2759267508042564
32,0.01,800,1,128,0.2763731749566939
32,0.01,800,2,32,0.28926998267755505
32,0.01,800,2,64,0.3591606038109379
32,0.01,800,2,128,0.3858361791635733
32,0.01,800,3,32,0.36272902746844843
32,0.01,800,3,64,0.3871427864390002
32,0.01,800,3,128,0.343079435783222
64,0.01,300,1,32,0.2487661469933185
64,0.01,300,1,64,0.23675723830734965
64,0.01,300,1,128,0.23942687453600592
64,0.01,300,2,32,0.2585706508290027
64,0.01,300,2,64,0.25767384310814156
64,0.01,300,2,128,0.2590121257114576
64,0.01,300,3,32,0.24875030932937392
64,0.01,300,3,64,0.2639109131403118
64,0.01,300,3,128,0.2590150952734472
64,0.01,500,1,32,0.2509943083395199
64,0.01,500,1,64,0.25054491462509276
64,0.01,500,1,128,0.24297550111358576
64,0.01,500,2,32,0.2554427121999505
64,0.01,500,2,64,0.263456570155902
64,0.01,500,2,128,0.2723761445186835
64,0.01,500,3,32,0.25010146003464484
64,0.01,500,3,64,0.2692610739915863
64,0.01,500,3,128,0.2728473150210344
64,0.01,800,1,32,0.266133135362534
64,0.01,800,1,64,0.2607899034892353
64,0.01,800,1,128,0.2572313783716902
64,0.01,800,2,32,0.2754783469438258
64,0.01,800,2,64,0.27014204404850284
64,0.01,800,2,128,0.28839594159861426
64,0.01,800,3,32,0.30621925266023264
64,0.01,800,3,64,0.3239861420440485
64,0.01,800,3,128,0.3520287057658995
